**********************************************************************
*** Measurements of CH4 mixing ratio and D/H and                   ***
*** 13C/12C isotope ratios in atmospheric samples                  ***
*** from Montana de Oro, CA, USA                                   ***
***                                                                ***
*** Jan. 23, 1996 to Dec. 01, 2001                                 ***
***                                                                ***
*** Source:      S.C. Tyler                                        ***
***              Department of Earth System Science                ***
***              University of California                          ***
***              Irvine, CA 92697                                  ***
***                                                                ***
***                                                                ***   
*** May 2003                                                       ***
***                                                                ***
**********************************************************************

Error in measurement is 1 standard deviation from the mean of multiple samples
						
Date		Time	conc.	CH4	d13CH4	d13CH4	dD-CH4	dD-CH4	wind	wind	wind
		(local	err.	conc.		err.			spd.	spd.	dir.
		time)	(ppb)	(ppb)	(per	(per	(per	s.d.	(mph)	(km/hr)	(degrees)
					mil)	mil)	mil)	(1s)

12/12/1999	2:51 PM	11	1835	-47.31	0.02	NM	NM	2	3.2	345
12/30/1999	5:10 PM	5	1867	-47.22	0.01	NM	NM	7.5	12.9	300
2/25/2000	5:05 PM	2	1842	-46.96	0	-104.2	1.7	7	11.3	310
3/13/2000	4:10 PM	4	1827	-47.18	0	-98.3	2.3	7	11.3	330
4/5/2000	4:05 PM	1	1784	-47.02	0.02	-98.2	1.2	10	16.1	310
4/19/2000	4:39 PM	8	1846	-47.15	0.01	-103.7	1.5	5	8	317
5/5/2000	3:42 AM	18	1854	-47.16	0.04	-95.4	0.9	6	9.7	317
5/19/2000	4:15 PM	0	1807	-47.12	0	-95.6	1.1	6	9.7	297
6/6/2000	5:19 PM	0	1793	-47.16	0	-98.1	0.4	5	8	297
6/27/2000	5:07 PM	0	1812	-46.92	0.11	-90.9	1.5	8	12.9	297
7/28/2000	4:26 PM	10	1758	-47.15	0.02	-95.4	1.9	6	9.7	335
8/21/2000	3:13 PM	0	1783	-47.31	0	-96.5	1.9	3	4.8	277
9/22/2000	3:50 PM	13	1788	-47.32	0	-96.1	1	8	12.9	177
10/18/2000	3:58 PM	0	1881	-47.39	0.03	-100.4	1.7	8	12.9	336
11/1/2000	5:02 PM	1	1835	-47.31	0.01	-102.4	1.7	9	14.5	300
11/17/2000	4:53 PM	6	1849	-47.4	0.03	-100.3	1.2	10	16.1	300
12/15/2000	3:53 PM	3	1814	-47.18	0.04	-98.7	0.6	11	17.7	320
1/17/2001	3:21 PM	6	1863	NM	NM	-103.9	2.1	19	30.4	280
2/5/2001	4:56 PM	5	1826	NM	NM	-98.8	1.6	5	8	300
2/22/2001	3:14 PM	8	1818	NM	NM	-100.1	1.5	13	20.8	270
4/4/2001	3:06 PM	3	1803	NM	NM	-94.5	1.9	10	16	270
4/25/2001	3:05 PM	11	1825	NM	NM	-97.1	0.1	8	12.8	290
5/9/2001	3:21 PM	0	1816	NM	NM	-94.8	0.1	8	12.8	300
6/1/2001	5:02 PM	2	1819	NM	NM	-94.4	1.5	3	4.8	290
6/23/2001	4:23 PM	3	1774	NM	NM	-91.2	0.6	2	3.2	290
7/13/2001	4:10 PM	4	1798	NM	NM	-94.7	0.3	14	22.4	295
8/4/2001	7:45 PM	5	1765	NM	NM	-91.7	0.4	9	14.4	320
9/8/2001	4:24 PM	34	1828	NM	NM	-98.5	1.5	6	9.6	300
9/22/2001	4:41 PM	1	1805	NM	NM	-94.9	0.8	4	6.4	270
10/19/2001	3:25 PM	12	1830	NM	NM	-96.6	1.7	6	9.6	300
12/1/2001	3:45 PM	5	1808	NM	NM	-93.6	0.3	11	17.6	150

	NM -- not measured									
