Air samples collected at Olympic Peninsula, USA.(48°N, 126°W)


SIL ID #   Identification Number used at the Stable Isotope Lab, 
            University of Washington.
Date       Date that this sample was collected.
CH4-SIL    Methane concentration (ppm) determined manometrically at SIL with 
            precision of ± 2%, see Quay et al. (1).
CH4-CMDL   Methane concentration (ppm) determined by gas chromatography by 
            NOAA/CMDL laboratory with precsion of ±0.2%, see Dlugokencky et al. (2).
Del 13C    Measured 13C/12C in per mil (0/00) units, where
            del 13C(0/00) ={[(13C/12C)sample/(13C/12C)standard - 1]*1000}
            and the standard is VPDB, see Quay et al. (1).
            Del 13C (0/00) corrected for standard drift, see Quay et al. (1).



SIL ID #        Date     CH4-SIL  CH4-CMDL  Del 13C
TTCM0125        15-MAY-91   1.76      1.779  -47.61
TTCM0127        31-MAY-91   1.74      1.783  -47.63
TTCM0128        26-JUN-91   1.72      1.760  -47.26
TTCM0129        21-JUL-91   1.72      1.709  -47.30
TTCM0130        13-AUG-91   1.80      NaN    -47.70
TTCM0132        9-SEP-91    1.75      1.782  -47.95
TTCM0133        11-OCT-91   1.70      1.741  -47.51
TTCM0134        31-OCT-91   1.80      1.823  -47.29
TTCM0136        31-OCT-91   1.79      1.882  -47.67
TTCM0137        31-OCT-91   1.85      1.823  -47.50
TTCM0139        2-DEC-91    1.79      1.790  -47.69
TTCM0138        2-DEC-91    1.80      1.790  -47.45
TTCM0142        18-JAN-92   1.79      1.795  -47.77
TTCM0141        18-JAN-92   1.78      1.795  -47.64
TTCM0140        18-JAN-92   1.78      1.795  -47.59
TTCM0144        5-FEB-92    1.76      1.794  -47.47
TTCM0145        5-FEB-92    1.83      1.794  -47.45
TTCM0146        5-FEB-92    1.84      1.794  -47.59
TTCM0151        5-MAR-92    1.85      1.786  -47.48
TTCM0150        5-MAR-92    1.83      1.786  -47.47
TTCM0148        11-APR-92   1.84      NaN    -47.25
TTCM0143        11-APR-92   1.97      NaN    -47.45
TTCM0149        11-APR-92   1.83      NaN    -47.25
TTCM0147        11-APR-92   1.83      NaN    -47.25
TTCM0153        15-MAY-92   1.82      1.782  -47.49
TTCM0152        15-MAY-92   1.79      1.782  -47.50
TTCM0155        14-JUN-92   1.77      1.732  -47.32
